ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,id
12/5/14,114,0.079999998,0.079999998,0,0,0,0.079999998,0,0,0,9,1431,1306,4
12/6/14,16129,11.86999989,11.86999989,0,1.820000052,1.549999952,8.5,0,21,37,350,583,2314,4
12/7/14,18780,13.60000038,13.60000038,0,4.019999981,2.970000029,6.599999905,0,46,77,297,407,2408,4
12/8/14,10761,7.789999962,7.789999962,0,0.200000003,1.659999967,5.929999828,0,3,38,270,719,2013,4
12/9/14,17009,12.31000042,12.31000042,0,0.280000001,2.349999905,9.680000305,0,4,58,399,612,2365,4
12/10/14,11115,8.050000191,8.050000191,0,0.209999993,1.340000033,6.489999771,0,3,33,304,434,2051,4
12/11/14,13902,10.35999966,10.35999966,0,6.389999866,0.519999981,3.440000057,0,66,15,201,644,2184,4
12/12/14,14631,10.59000015,10.59000015,0,3.359999895,0.610000014,6.619999886,0,39,15,290,563,2211,4
12/13/14,20410,14.81999969,14.81999969,0,1.24000001,5.869999886,7.710000038,0,15,137,337,516,2531,4
12/14/14,13195,9.550000191,9.550000191,0,0.649999976,2.089999914,6.809999943,0,9,46,326,610,2172,4
12/15/14,15214,11.01000023,11.01000023,0,7.309999943,0.310000002,3.390000105,0,93,7,221,695,2260,4
12/16/14,15401,11.14999962,11.14999962,0,0.620000005,1.5,9.029999733,0,9,36,404,678,2328,4
12/17/14,16568,12,12,0,4.639999866,0.170000002,7.190000057,0,60,4,324,456,2335,4
12/18/14,16567,11.98999977,11.98999977,0,1.580000043,1.629999995,8.779999733,0,20,39,373,621,2352,4
12/19/14,16414,11.88000011,11.88000011,0,7.769999981,0.699999988,3.410000086,0,94,15,173,516,2268,4
12/20/14,15115,11.19999981,11.19999981,0,1.230000019,2.450000048,7.519999981,0,9,60,347,602,2290,4
12/21/14,20365,14.73999977,14.73999977,0,5.179999828,1.879999995,7.679999828,0,61,45,348,414,2539,4
12/22/14,21464,15.53999996,15.53999996,0,5.059999943,2.819999933,7.659999847,0,60,66,380,461,2638,4
12/23/14,20540,14.86999989,14.86999989,0,5.46999979,2.210000038,7.190000057,0,70,55,388,563,2604,4
12/24/14,15062,10.89999962,10.89999962,0,8.130000114,0.100000001,2.670000076,0,108,2,194,566,2245,4
12/25/14,17464,12.73999977,12.73999977,0,6.150000095,0.170000002,3.529999971,0,78,4,193,508,2352,4
12/26/14,25048,18.51000023,18.51000023,0,7.510000229,1.74000001,9.25,0,83,46,403,643,2836,4
12/27/14,20072,15.22000027,15.22000027,0,4.599999905,0.660000026,9.949999809,0,38,16,417,548,2570,4
12/28/14,16776,12.14999962,12.14999962,0,5.909999847,0.850000024,5.389999866,0,77,18,277,493,2342,4
12/29/14,17864,12.93000031,12.93000031,0,4.639999866,0.419999987,7.880000114,0,58,10,326,683,2385,4
12/30/14,15169,10.97999954,10.97999954,0,2.519999981,0.460000008,8.010000229,0,30,10,326,574,2275,4
12/31/14,20732,15.22999954,15.22999954,0,10.60000038,0.850000024,3.769999981,0,128,21,209,474,2516,4
1/1/15,16334,12.09000015,12.09000015,0,1,2.5,8.590000153,0,10,58,342,503,2328,4
1/2/15,15455,11.43000031,11.43000031,0,1.409999967,2.680000067,7.329999924,0,11,67,331,500,2293,4
1/3/15,21102,15.27999973,15.27999973,0,6.730000019,0.790000021,7.75,0,84,18,321,400,2545,4
1/4/15,25324,18.32999992,18.32999992,0,7.809999943,3.00999999,7.510000229,0,101,72,363,362,2806,4
1/5/15,17136,12.47999954,12.47999954,0,7.869999886,0.899999976,3.700000048,0,97,19,183,752,2318,4
1/6/15,17109,12.42000008,12.42000008,0,7.820000172,1.059999943,3.480000019,0,96,24,168,569,2300,4
1/7/15,16257,12.18000031,12.18000031,0,0.319999993,0.930000007,10.93999958,0,4,20,374,490,2342,4
1/8/15,17361,13.06999969,13.06999969,0,4.380000114,1.570000052,7.119999886,0,48,31,269,710,2377,4
1/9/15,20172,14.82999992,14.82999992,0,8.75,0.460000008,5.619999886,0,107,10,255,561,2519,4
1/10/15,22266,16.28000069,16.28000069,0,10.64999962,0.670000017,4.96999979,0,134,14,203,558,2570,4
1/11/15,23091,16.85000038,16.85000038,0,10,1.360000014,5.489999771,0,121,27,177,635,2586,4
1/12/15,16847,13.03999996,13.03999996,0,4.340000153,1.200000048,7.5,0,32,25,322,575,2405,4
1/13/15,23044,16.68000031,16.68000031,0,8.649999619,1.190000057,6.789999962,0,107,25,255,529,2622,4
1/14/15,22069,16.04000092,16.04000092,0,10.64999962,1.549999952,3.839999914,0,148,35,216,501,2586,4
1/15/15,14131,10.31999969,10.31999969,0,1.889999986,1.970000029,6.46999979,0,26,49,287,569,2116,4
1/16/15,19060,13.89000034,13.89000034,0,4.980000019,0.409999996,8.5,0,63,9,363,438,2485,4
1/17/15,18157,13.34000015,13.34000015,0,2.359999895,0.910000026,10.07999992,0,29,21,390,474,2443,4
1/18/15,20273,15.14000034,15.14000034,0,5.980000019,2.089999914,7.070000172,0,68,47,298,502,2523,4
1/19/15,22601,16.38999939,16.38999939,0,8.090000153,1.720000029,6.429999828,0,100,42,306,355,2636,4
1/20/15,17294,12.52000046,12.52000046,0,6.429999828,0.419999987,5.670000076,0,79,9,246,514,2350,4
1/21/15,16880,12.22000027,12.22000027,0,1.779999971,0.660000026,7.590000153,0,23,16,374,667,2234,4
1/22/15,0,0,0,0,0,0,0,0,0,0,0,1440,1303,4
1/23/15,0,0,0,0,0,0,0,0,0,0,0,1440,1303,4
1/24/15,0,0,0,0,0,0,0,0,0,0,0,1440,1303,4
1/25/15,0,0,0,0,0,0,0,0,0,0,0,1440,1303,4
1/26/15,16837,12.18999958,12.18999958,0,4.510000229,2.160000086,5.519999981,0,55,55,249,1081,2298,4
1/27/15,15699,11.92000008,11.92000008,0,7.610000134,0.230000004,4.079999924,0,80,5,192,513,2301,4
1/28/15,16431,11.97999954,11.97999954,0,7.460000038,0.300000012,4.070000172,0,91,6,229,489,2361,4
1/29/15,25090,18.92000008,18.92000008,0,9,0.819999993,9.100000381,0,99,21,418,391,2944,4
1/30/15,16028,12.11999989,12.11999989,0,2.950000048,0.289999992,8.880000114,0,29,6,317,645,2388,4
1/31/15,17741,12.84000015,12.84000015,0,5.199999809,0.090000004,7.550000191,0,66,2,355,502,2501,4
2/1/15,25064,18.31999969,18.31999969,0,8.420000076,1.450000048,8.460000038,0,106,37,376,341,2886,4
2/2/15,17543,13.18000031,13.18000031,0,3.200000048,1.049999952,8.930000305,0,39,25,297,578,2453,4
2/3/15,17534,12.96000004,12.96000004,0,8.359999657,0.889999986,3.710000038,0,97,21,259,556,2511,4
2/4/15,22099,16.35000038,16.35000038,0,8.680000305,1.120000005,6.539999962,0,103,27,349,451,2755,4
2/5/15,21201,15.77000046,15.77000046,0,5.300000191,1.639999986,8.569999695,0,58,39,329,518,2667,4
2/6/15,19005,14.19999981,14.19999981,0,7.090000153,1,6.119999886,0,79,23,282,608,2559,4
2/7/15,18623,14.05000019,14.05000019,0,9.159999847,0.550000012,4.340000153,0,108,12,179,644,2473,4
2/8/15,21443,15.71000004,15.71000004,0,9.130000114,0.270000011,6.309999943,0,115,6,309,511,2709,4
2/9/15,17529,13.26000023,13.26000023,0,7.670000076,0.340000004,5.239999771,0,91,7,222,596,2450,4
2/10/15,16129,12.78999996,12.78999996,0,3.569999933,0.779999971,8.43999958,0,29,17,297,520,2421,4
2/11/15,18367,13.93000031,13.93000031,0,4.659999847,0.310000002,8.949999809,0,56,7,343,540,2581,4
