id,date,activityintensity,minutes
1,1/9/15,VeryActiveMinutes,40
1,1/9/15,FairlyActiveMinutes,8
1,1/9/15,LightlyActiveMinutes,81
1,1/9/15,SedentaryMinutes,1286
2,1/9/15,VeryActiveMinutes,40
2,1/9/15,FairlyActiveMinutes,43
2,1/9/15,LightlyActiveMinutes,210
2,1/9/15,SedentaryMinutes,728
3,1/9/15,VeryActiveMinutes,35
3,1/9/15,FairlyActiveMinutes,92
3,1/9/15,LightlyActiveMinutes,253
3,1/9/15,SedentaryMinutes,621
4,1/9/15,VeryActiveMinutes,8
4,1/9/15,FairlyActiveMinutes,52
4,1/9/15,LightlyActiveMinutes,179
4,1/9/15,SedentaryMinutes,789
5,1/9/15,VeryActiveMinutes,13
5,1/9/15,FairlyActiveMinutes,86
5,1/9/15,LightlyActiveMinutes,238
5,1/9/15,SedentaryMinutes,681
1,1/10/15,VeryActiveMinutes,31
1,1/10/15,FairlyActiveMinutes,62
1,1/10/15,LightlyActiveMinutes,188
1,1/10/15,SedentaryMinutes,553
2,1/10/15,VeryActiveMinutes,7
2,1/10/15,FairlyActiveMinutes,69
2,1/10/15,LightlyActiveMinutes,218
2,1/10/15,SedentaryMinutes,686
3,1/10/15,VeryActiveMinutes,11
3,1/10/15,FairlyActiveMinutes,49
3,1/10/15,LightlyActiveMinutes,158
3,1/10/15,SedentaryMinutes,778
4,1/10/15,VeryActiveMinutes,8
4,1/10/15,FairlyActiveMinutes,39
4,1/10/15,LightlyActiveMinutes,184
4,1/10/15,SedentaryMinutes,785
5,1/10/15,VeryActiveMinutes,3
5,1/10/15,FairlyActiveMinutes,52
5,1/10/15,LightlyActiveMinutes,164
5,1/10/15,SedentaryMinutes,787
1,1/11/15,VeryActiveMinutes,21
1,1/11/15,FairlyActiveMinutes,53
1,1/11/15,LightlyActiveMinutes,182
1,1/11/15,SedentaryMinutes,738
2,1/11/15,VeryActiveMinutes,6
2,1/11/15,FairlyActiveMinutes,42
2,1/11/15,LightlyActiveMinutes,156
2,1/11/15,SedentaryMinutes,815
3,1/11/15,VeryActiveMinutes,7
3,1/11/15,FairlyActiveMinutes,25
3,1/11/15,LightlyActiveMinutes,167
3,1/11/15,SedentaryMinutes,604
4,1/11/15,VeryActiveMinutes,0
4,1/11/15,FairlyActiveMinutes,49
4,1/11/15,LightlyActiveMinutes,221
4,1/11/15,SedentaryMinutes,682
5,1/11/15,VeryActiveMinutes,7
5,1/11/15,FairlyActiveMinutes,69
5,1/11/15,LightlyActiveMinutes,150
5,1/11/15,SedentaryMinutes,772
1,1/12/15,VeryActiveMinutes,18
1,1/12/15,FairlyActiveMinutes,67
1,1/12/15,LightlyActiveMinutes,248
1,1/12/15,SedentaryMinutes,677
2,1/12/15,VeryActiveMinutes,39
2,1/12/15,FairlyActiveMinutes,73
2,1/12/15,LightlyActiveMinutes,184
2,1/12/15,SedentaryMinutes,672
3,1/12/15,VeryActiveMinutes,32
3,1/12/15,FairlyActiveMinutes,119
3,1/12/15,LightlyActiveMinutes,266
3,1/12/15,SedentaryMinutes,584
4,1/12/15,VeryActiveMinutes,56
4,1/12/15,FairlyActiveMinutes,91
4,1/12/15,LightlyActiveMinutes,295
4,1/12/15,SedentaryMinutes,493
5,1/12/15,VeryActiveMinutes,1
5,1/12/15,FairlyActiveMinutes,28
5,1/12/15,LightlyActiveMinutes,136
5,1/12/15,SedentaryMinutes,709
1,1/13/15,VeryActiveMinutes,0
1,1/13/15,FairlyActiveMinutes,20
1,1/13/15,LightlyActiveMinutes,227
1,1/13/15,SedentaryMinutes,736
2,1/13/15,VeryActiveMinutes,3
2,1/13/15,FairlyActiveMinutes,29
2,1/13/15,LightlyActiveMinutes,216
2,1/13/15,SedentaryMinutes,662
3,1/13/15,VeryActiveMinutes,21
3,1/13/15,FairlyActiveMinutes,73
3,1/13/15,LightlyActiveMinutes,216
3,1/13/15,SedentaryMinutes,709
4,1/13/15,VeryActiveMinutes,19
4,1/13/15,FairlyActiveMinutes,45
4,1/13/15,LightlyActiveMinutes,218
4,1/13/15,SedentaryMinutes,630
5,1/13/15,VeryActiveMinutes,11
5,1/13/15,FairlyActiveMinutes,77
5,1/13/15,LightlyActiveMinutes,199
5,1/13/15,SedentaryMinutes,720
